007	3764
01	2396
05	3920
06	21189
07	2789
1.0	2927
1.5	6046
1.6	6049
1.75	3047
10	14481
100	11730
1000	4745
10000	3097
11	10025
110	2767
12	7270
120	2391
123	38439
123.com	11083
12530	6117
126	28627
126.com	12165
13	3016
139	2373
14	2843
15	3430
16	5295
163	55319
163.com	21375
168	5806
17	4823
17173	4269
176	3054
18	74540
18.com	3167
183	19413
183club	14801
18dy	22115
18dy.com	5670
18girl	2546
19	4312
2.0	6257
20	5965
200	3222
2000	14719
2001	2559
2002	6298
2003	15956
2004	12697
2005	38830
2006	183907
2007	10198
2008	6013
2009	24745
21	9373
22	3804
220	3616
23	4693
24	4204
25	3845
263	3485
265	4014
3.0	3965
30	5815
300	3354
3000	3531
31	2326
32	6290
320	2221
3250	2340
35	2920
36	2004
360	3118
365	28042
365.com	2351
365x	7249
365x.com	3562
3721	7101
38	3279
39	2375
3d	26379
3g	2531
3gp	15817
3p	3013
4.0	2366
40	3324
400	2193
4399	10943
4399.com	3743
4s	2199
5.0	3286
50	5356
500	6207
51	19261
51.com	5481
52	4573
520	4424
5460	2378
55	2834
550022	2008
5566	3862
56	2149
6.0	8358
60	4953
600	2366
601	3463
66	2025
680	2922
7.0	7084
70	6105
72	2515
77	55784
77.com	4799
777	12051
8.0	5571
8.com	3512
80	4428
800	3937
828	2025
86	2704
88	7225
888	2437
9.0	4781
90	2853
900	2884
91	3263
92	2258
95	2680
96	2184
97	6705
98	17234
98bb	10280
99	13287
999	4042
9991	2426
abc	2454
ac	2965
acdsee	3010
adobe	5454
aiwomen	2087
all	2597
amv	9956
asf	2261
asian	8348
asian4you	2131
asp	9000
autocad	4886
av	17779
avi	6243
baidu	44614
bb	16816
bbs	17154
bdsm	2567
beyond	2820
big	4620
bl	3558
blog	25498
book	2915
boy	5012
bt	68543
business	27838
cad	7284
cc	4330
cctv	20663
cctv5	3523
cd	6537
cdma	3513
cect	6161
channel	6566
china	5872
chinaren	6603
club	19389
cn	129099
co	2629
cock	2379
